Rank,Accession ID,Spesies,Panjang Sekuens (bp),A,T,G,C,N,A (%),T (%),G (%),C (%),N (%),GC Content (%)
1,NC_000913.3,Escherichia coli,4641652,1142742,1141382,1177437,1180091,0,24.62,24.59,25.37,25.42,0.0,50.7907
2,NC_007204.1,Psychrobacter arcticus,2650701,757045,759150,568153,566353,0,28.56,28.64,21.43,21.37,0.0,42.8002
3,NC_000909.1,Methanocaldococcus jannaschii,1664970,573429,568290,264573,258665,13,34.44,34.13,15.89,15.54,0.0,31.4265
